full_path,relative_path_to_file,filename_with_extension,file_stem,extension,filesize,sha1
textures/flatlist/ovr_stm/_win/sna_hair1_alp_ovl.bmp.ctxr,textures/flatlist/ovr_stm/_win,sna_hair1_alp_ovl.bmp.ctxr,sna_hair1_alp_ovl.bmp,ctxr,699488,7daf7a08fc41da6d2697315db62de1b44a55d84d
textures/flatlist/ovr_stm/_win/sna_hair2dt_alp_ovl.bmp.ctxr,textures/flatlist/ovr_stm/_win,sna_hair2dt_alp_ovl.bmp.ctxr,sna_hair2dt_alp_ovl.bmp,ctxr,349920,1944c45397ef15c5a4b4d29f7ef34dc43774a958
textures/flatlist/ovr_stm/_win/sna_hair2_alp_ovl.bmp.ctxr,textures/flatlist/ovr_stm/_win,sna_hair2_alp_ovl.bmp.ctxr,sna_hair2_alp_ovl.bmp,ctxr,87744,3042e939b7900fc0d9afa84a51d13864336c3b52
textures/flatlist/ovr_stm/_win/sna_hair3.bmp.ctxr,textures/flatlist/ovr_stm/_win,sna_hair3.bmp.ctxr,sna_hair3.bmp,ctxr,44064,606cbad8a8b3e850b9a8b76f944bc3be25ed5f69
