filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,non_upscaled_version,ctxr3_converted,npot_resized
00006739,7d4ea1addff78bcabc10019b47b6734422c82e00,3db9770978ca73b42f51e993d8dd9a9e43f075e7,true,Self Remade\Finalized\Dont demaster,true,false,0,none,5,false,false
0009bc34,e29cc0cb4f3ea2105ec9df9f6982984b12dd37cc,e92c74de0ae8d9857e2262727f781788f68db252,false,Self Remade\Finalized\Self Remastered\UI\Shared,false,false,0,none,5,true,false
0009bc34_b930b4499997afc4e26e408ea169f9c7,e29cc0cb4f3ea2105ec9df9f6982984b12dd37cc,e92c74de0ae8d9857e2262727f781788f68db252,false,Self Remade\Finalized\Self Remastered\UI\Shared,false,false,0,none,5,true,false
00180189,6eefb15897f2fcea461ba2e601c5809f77353d85,b965ee414e614a9fea1d3b69b81739994dfabeda,true,Self Remade\Finalized\Dont demaster,false,false,0,none,5,false,false
003f0404,6eefb15897f2fcea461ba2e601c5809f77353d85,b965ee414e614a9fea1d3b69b81739994dfabeda,true,Self Remade\Finalized\Dont demaster,false,false,0,none,5,false,false
0051a133,8bc71a337b47b30265896a47f2f1681ef881aa61,014e54bacf0f7ce718dde16b847cf900c8b7f449,false,Self Remade\Finalized\Self Remastered\UI\Shared\Dont Demaster,false,false,0,none,5,true,false
0051b133,d60d161bb05b50446391fa044e365d53a9c0a6b3,7bc22717c66897285b9912083dd490a61ce5777d,false,Self Remade\Finalized\Self Remastered\UI\Shared\Dont Demaster,false,false,0,none,5,true,false
00626739,fb85e1fd752c07d2720dd001856cc429b2a26cc6,512c08c01a2ca108dba693f3a99877b5ac6ea15f,true,Self Remade\Finalized\Dont demaster,true,false,0,none,5,false,false
007a0189,6eefb15897f2fcea461ba2e601c5809f77353d85,b965ee414e614a9fea1d3b69b81739994dfabeda,true,Self Remade\Finalized\Dont demaster,false,false,0,none,5,false,false
008ae623,665fb4ba6241e16cd9ea1a480c9668c0fa1b4ff2,96c7e3121825e05c0b4b7504939111cb4d3123a9,false,Self Remade\Finalized\Self Remastered\UI\Shared\Dont Demaster,true,false,0,none,5,true,false
008ae623_fad237f35f44f84013d072b01d34bfc0,665fb4ba6241e16cd9ea1a480c9668c0fa1b4ff2,96c7e3121825e05c0b4b7504939111cb4d3123a9,false,Self Remade\Finalized\Self Remastered\UI\Shared\Dont Demaster,true,false,0,none,5,true,false
00b60372,333d219454684f206e5591b3c1a31a98d727d417,2e576b445e89201a594cb19c0d2e8d5c5490c959,false,Self Remade\Finalized\Self Remastered\UI\Shared\Dont Demaster,false,false,0,none,5,true,false
00e103ff,6eefb15897f2fcea461ba2e601c5809f77353d85,b965ee414e614a9fea1d3b69b81739994dfabeda,true,Self Remade\Finalized\Dont demaster,false,false,0,none,5,false,false
00edb9fc,e8484ee65c9d593424ce65f4e2eda5a91690f04b,abc86ff1d8b48079856fe21bafbcb81e4b1917e0,true,Self Remade\Finalized\Dont demaster,true,false,0,none,5,false,false
00fcb7ac,2275ce7b932ed408431933d6fafee568fe376bcb,df63f53e8ce025d0791a8e80c109fd1cdd1737da,false,Self Remade\Finalized\Self Remastered\UI\Shared,true,false,0,none,5,true,false
00fcbfac,3395e6e92a40cbcd0dd208743066b01090a4d6e6,e08891e0d8e0b66d69b31b78bee7521d9bd9704a,false,Self Remade\Finalized\Self Remastered\UI\Shared,true,false,0,none,5,true,false
a_bg.bmp,78fefa4a6a4cfeb2b9de384af1aaade2bd15825c,a83545e1cc22149d3c8aec764caf2a4d76a15546,false,Self Remade\Finalized\Dont demaster\16-9 Fixes,true,false,0,none,5,true,false
afevis_fp_sna_hi_finger.bmp,e78003b82d5abbdd70028e81693c6d2d28a56536,77245d9ce614eb32df534844cadef74b402e498e,true,Self Remade\Finalized\Dont demaster\Dont upscale,true,false,0,none,5,false,false
afevis_fp_sna_hi_finger2.bmp,bfda8f2d28a90ddd2076f33e863c9049f4c0467c,751cc4d43f64072c9fae8b9da03dac97316b70c2,true,Self Remade\Finalized\Dont demaster\Dont upscale,true,false,0,none,5,false,false
afevis_fp_sna_hi_hand1.bmp,547d7c159933534163a266d2cc6923aa6236d328,0d46851c81015c9a696c013149486bcec63cfacc,true,Self Remade\Finalized\Dont demaster\Dont upscale,true,false,0,none,5,false,false
afevis_fp_sna_hi_hand2.bmp,8989845568e64eb2b17c990e39bf3d1f32dca373,91f2925ec90ae79e761af11724b8e3a304405ec2,true,Self Remade\Finalized\Dont demaster\Dont upscale,true,false,0,none,5,false,false
animal_alp_ovl.bmp,fe2bddeb1cf97ff137068d2e231453497185569e,a49beda9c3f7d7a061bbc55c9d82ca6fe126c586,false,Self Remade\Finalized\Self Remastered\UI\Shared,true,false,0,none,5,true,false
augm_stabbed_tnc_body.bmp,3c6a6fa48e519cd206c876d741b14f9dba11e7e8,efae18d5a736f1fb85a7ebd1ec3e4f1d1c17cdd5,true,Self Remade\Finalized\Dont demaster,true,false,0,none,5,false,false
augm_tnc_eri.bmp,a4b588aa2ce8ab5284113ef9dd0cf649afdb3cb3,c0a2526cb0a7d83695e89b5372d4e691fc7386ac,true,Self Remade\Finalized\Dont demaster,true,false,0,none,5,false,false
b_bg.bmp,24237a173703df54b3ccf6692f97d186d353bd87,7c030389d04edc8f4c0beabf4c22c27722a7c453,false,Self Remade\Finalized\Dont demaster\16-9 Fixes,true,false,0,none,5,true,false
berrazano_alp_ovl.bmp,cf64a421a87fc66b5b512bdc73674e0c78903e60,8aa1d76b4b8e62924cf4501be6ee7a5a38dc24c5,false,Self Remade\Finalized\Self Remastered\UI\English,false,false,0,none,5,true,false
bg_alp_ovl.bmp,0558188f1609dd3ca6ae74a6dc8bdd2e0b99f017,72664eb74e25f1c010fd47bce4e4687f770622ea,false,Self Remade\Finalized\Dont demaster\16-9 Fixes,true,false,0,none,5,true,false
bigshell_alp_ovl.bmp,8feb494012b338372dfafb779dc5cffecb5be7ce,4ca4d787a8ecd2c50264763fcfaae945bc0a9f67,false,Self Remade\Finalized\Self Remastered\UI\English,false,false,0,none,5,true,false
c_bg.bmp,d95c1b4d08a0d4434ff9837ada1f5b544db119a4,d09d82b7a07dc6fbd75cea685c30b410a430f39a,false,Self Remade\Finalized\Dont demaster\16-9 Fixes,true,false,0,none,5,true,false
class1_alp_ovl.bmp,602e64f16872b6f8a83899291fe4aae9c2f79afc,d773deb4f37c344776ddd28df258db7c676ad543,false,Self Remade\Finalized\Self Remastered\UI\Shared\Dont Demaster,false,false,0,none,5,true,false
